I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:197] Initialize GrpcChannelCache for job ps -> {0 -> localhost:2501}
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:197] Initialize GrpcChannelCache for job worker -> {0 -> ps-2:2500}
I tensorflow/core/distributed_runtime/rpc/grpc_server_lib.cc:211] Started server with target: grpc://localhost:2501
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:197] Initialize GrpcChannelCache for job ps -> {0 -> ps-2:2501}
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:197] Initialize GrpcChannelCache for job worker -> {0 -> localhost:2500}
I tensorflow/core/distributed_runtime/rpc/grpc_server_lib.cc:211] Started server with target: grpc://localhost:2500
I tensorflow/core/distributed_runtime/master_session.cc:992] Start master session ff8bfb77c9d1ef73 with config: 
device_filters: "/job:ps"
device_filters: "/job:worker/task:0"
allow_soft_placement: true

job name = worker
task index = 0
Filling queue with 20000 CIFAR images before starting to train. This will take a few minutes.
Worker 0: Initializing session...
Worker 0: Session initialization complete.
Training begins @ 1480563504.720790
Taking a Checkpoint @ Global Step 0
19.696679: Worker 0: step 10 (global step: 9 of 60000) loss = 4.61 examples_per_sec = 64.99 

5.175493: Worker 0: step 20 (global step: 19 of 60000) loss = 4.54 examples_per_sec = 247.32 

5.167110: Worker 0: step 30 (global step: 29 of 60000) loss = 4.36 examples_per_sec = 247.72 

5.201188: Worker 0: step 40 (global step: 39 of 60000) loss = 4.32 examples_per_sec = 246.10 

5.446155: Worker 0: step 50 (global step: 49 of 60000) loss = 4.32 examples_per_sec = 235.03 

5.297210: Worker 0: step 60 (global step: 59 of 60000) loss = 4.27 examples_per_sec = 241.64 

5.262016: Worker 0: step 70 (global step: 69 of 60000) loss = 4.35 examples_per_sec = 243.25 

5.192911: Worker 0: step 80 (global step: 79 of 60000) loss = 4.08 examples_per_sec = 246.49 

5.249498: Worker 0: step 90 (global step: 89 of 60000) loss = 4.05 examples_per_sec = 243.83 

5.214371: Worker 0: step 100 (global step: 99 of 60000) loss = 4.11 examples_per_sec = 245.48 

5.327770: Worker 0: step 110 (global step: 109 of 60000) loss = 3.92 examples_per_sec = 240.25 

